Date,Open,High,Low,Close
2019/11/1,12.5,12.6,12.26,12.3
2019/11/4,12.68,13.13,12.44,12.83
2019/11/5,12.85,13.28,12.25,13.1
2019/11/6,13.18,13.39,12.6,12.62
2019/11/7,12.59,12.89,12.26,12.73
2019/11/8,12.98,13.05,12,12.07
2019/11/11,13.15,13.49,12.66,12.69
2019/11/12,12.64,13.1,12.36,12.68
2019/11/13,12.91,13.9,12.88,13
2019/11/14,13.16,13.81,12.93,13.05
2019/11/15,12.95,12.97,11.92,12.05
2019/11/18,12.39,13.1,12.32,12.46
2019/11/19,12.33,13.01,12.16,12.86
2019/11/20,13.42,14.17,12.61,12.78
2019/11/21,13.35,13.86,12.49,13.13
2019/11/22,12.82,13.25,12.33,12.34
2019/11/25,12.51,12.59,11.73,11.87
2019/11/26,11.88,12.04,11.42,11.54
2019/11/27,11.55,11.79,11.44,11.75
2019/11/29,12.5,12.83,12.12,12.62
2019/12/2,12.69,15.27,12.55,14.91
2019/12/3,14.68,17.99,14.61,15.96
2019/12/4,16.379999,16.4,14.12,14.8
2019/12/5,14.46,15.37,14.17,14.52
2019/12/6,14.37,14.47,13.19,13.62
2019/12/9,14.25,16.07,12.25,15.86
2019/12/10,15.8,16.9,14.93,15.68
2019/12/11,15.57,15.97,14.98,14.99
2019/12/12,14.94,15.55,13.6,13.94
2019/12/13,13.18,14.35,12.54,12.63
2019/12/16,12.47,12.53,11.71,12.14
2019/12/17,12.23,12.47,11.9,12.29
2019/12/18,12.24,12.7,11.93,12.58
2019/12/19,12.55,12.78,12.43,12.5
2019/12/20,12.55,12.61,12.04,12.51
2019/12/23,12.81,12.9,12.41,12.61
2019/12/24,12.65,12.84,12.56,12.67
2019/12/26,12.74,12.75,11.72,12.65
2019/12/27,12.61,13.72,11.89,13.43
2019/12/30,13.74,15.14,13.44,14.82
2019/12/31,14.84,15.39,13.75,13.78
2020/1/2,13.46,13.72,12.42,12.47
2020/1/3,15.01,16.200001,13.13,14.02
2020/1/6,15.45,16.389999,13.54,13.85
2020/1/7,13.84,14.46,13.39,13.79
2020/1/8,15.16,15.24,12.83,13.45
2020/1/9,12.95,13.24,12.53,12.54
2020/1/10,12.42,12.87,12.09,12.56
2020/1/13,12.84,13.09,12.32,12.32
2020/1/14,12.72,13.82,12.05,12.39
2020/1/15,12.79,12.83,11.95,12.42
2020/1/16,12.2,12.42,11.78,12.32
2020/1/17,12.21,12.48,11.75,12.1
2020/1/21,13.23,13.33,12.32,12.85
2020/1/22,12.45,13.01,12.31,12.91
2020/1/23,13.26,14.15,12.94,12.98
2020/1/24,12.75,15.98,12.62,14.56
2020/1/27,17.42,19.02,16.82,18.23
2020/1/28,16.940001,18.030001,15.69,16.280001
2020/1/29,15.68,16.65,14.94,16.389999
2020/1/30,17.82,18.389999,15.3,15.49
